"","X.2","Rk","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","WinorLoss","Year","StreakNo","Count"
"1",1,1,"1","Monday Apr 7","boxscore","ATL","@","HOU","L",2,6,NA,"0-1",5,"1.0","Dierker","Niekro","","2:08","N",14959,"-","L",1975,1,1
"2",2,2,"2","Tuesday Apr 8","boxscore","ATL","@","HOU","W",2,0,NA,"1-1",2,"0.5","Morton","Konieczny","","2:06","N",7937,"+","W",1975,2,1
"3",3,3,"3","Wednesday Apr 9","boxscore","ATL","@","HOU","L",2,14,NA,"1-2",5,"1.5","Roberts","Reed","","2:18","N",13257,"-","L",1975,3,1
"4",4,4,"4","Friday Apr 11","boxscore","ATL","@","SFG","W",4,2,NA,"2-2",2,"1.0","Capra","Caldwell","","1:56","D",17649,"+","W",1975,4,1
"5",5,5,"5","Saturday Apr 12","boxscore","ATL","@","SFG","W",7,4,NA,"3-2",1,"Tied","Morton","D'Acquisto","","2:13","D",4863,"++","W",1975,4,1
"6",6,6,"6","Sunday Apr 13 (1)","boxscore","ATL","@","SFG","L",0,5,NA,"3-3",5,"1.5","Montefusco","Reed","","1:50","D",0,"-","L",1975,5,1
"7",7,7,"7","Sunday Apr 13 (2)","boxscore","ATL","@","SFG","L",2,4,NA,"3-4",5,"1.5","Falcone","House","Moffitt","1:54","D",10527,"--","L",1975,5,1
"8",8,8,"8","Tuesday Apr 15","boxscore","ATL","","HOU","W",6,1,NA,"4-4",2,"1.0","Niekro","Richard","","2:00","N",12774,"+","W",1975,6,1
"9",9,9,"9","Wednesday Apr 16","boxscore","ATL","","HOU","W",5,2,NA,"5-4",1,"Tied","Capra","Dierker","","1:50","N",3401,"++","W",1975,6,1
"10",10,10,"10","Thursday Apr 17","boxscore","ATL","","HOU","W-wo",2,1,10,"6-4",1,"Tied","Morton","Roberts","","2:20","N",3123,"+++","W",1975,6,1
"11",11,11,"11","Friday Apr 18","boxscore","ATL","","SDP","L",1,3,NA,"6-5",2,"0.5","McIntosh","Reed","Tomlin","2:04","N",5954,"-","L",1975,7,1
"12",12,12,"12","Saturday Apr 19","boxscore","ATL","","SDP","L",2,8,NA,"6-6",3,"1.5","Freisleben","Gentry","","2:16","D",4714,"--","L",1975,7,1
