"","X.2","Rk","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","WinorLoss","Year"
"1",1,1,"1","Wednesday Apr 11 (1)","boxscore","ATL","","SFG","L",0,8,NA,"0-1",3,"1.5","Reuschel","Glavine","","2:26","N",0,"-","L",1990
"2",2,2,"2","Wednesday Apr 11 (2)","boxscore","ATL","","SFG","W",4,3,NA,"1-1",3,"1.5","Smith","Swan","Stanton","2:50","N",11082,"+","W",1990
"3",3,3,"3","Thursday Apr 12","boxscore","ATL","","SFG","L",4,13,NA,"1-2",5,"2","LaCoss","Smoltz","Brantley","3:12","D",6425,"-","L",1990
"4",4,4,"4","Friday Apr 13","boxscore","ATL","","CIN","L",2,5,NA,"1-3",5,"3","Browning","Lilliquist","Myers","2:27","N",12364,"--","L",1990
"5",5,5,"5","Sunday Apr 15","boxscore","ATL","","CIN","L",6,13,NA,"1-4",5,"4","Birtsas","Glavine","","3:08","D",10067,"---","L",1990
"6",6,6,"6","Monday Apr 16","boxscore","ATL","","CIN","L",3,5,NA,"1-5",5,"5","Armstrong","Smith","Dibble","2:51","N",6484,"----","L",1990
"7",7,7,"7","Tuesday Apr 17","boxscore","ATL","@","HOU","L",3,5,NA,"1-6",6,"6","Portugal","Smoltz","Smith","2:44","N",9555,"-----","L",1990
"8",8,8,"8","Wednesday Apr 18","boxscore","ATL","@","HOU","L",5,10,NA,"1-7",6,"7","Schatzeder","Lilliquist","","2:41","N",10137,"------","L",1990
"9",9,9,"9","Saturday Apr 21","boxscore","ATL","@","CIN","L",1,8,NA,"1-8",6,"8","Armstrong","Clary","","2:50","D",24091,"-------","L",1990
"10",10,10,"10","Sunday Apr 22","boxscore","ATL","@","CIN","W",3,1,NA,"2-8",6,"7","Glavine","Browning","Stanton","2:18","D",29299,"+","W",1990
