
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Friday Apr 7,boxscore,ATL,,LAD,L,4,13,,0-1,4,1.5,Sutton,Niekro,,2:33,N,42866,-
2,2,Saturday Apr 8,boxscore,ATL,,LAD,L,2,6,,0-2,5,2.5,John,Ruthven,Forster,2:36,D,11265,--
3,3,Sunday Apr 9,boxscore,ATL,,LAD,L,4,7,,0-3,5,3.5,Rhoden,Boggs,Castillo,2:29,D,11473,---
4,4,Monday Apr 10,boxscore,ATL,,SDP,W-wo,8,7,,1-3,4,3.0,Devine,Shirley,,2:45,N,2056,+
5,5,Tuesday Apr 11,boxscore,ATL,,SDP,L,2,3,,1-4,5,3.0,Fingers,Niekro,,2:29,N,2616,-
6,6,Friday Apr 14,boxscore,ATL,@,LAD,L,1,5,,1-5,5,5.0,John,Ruthven,,2:09,D,38397,--
7,7,Sunday Apr 16,boxscore,ATL,@,LAD,L,0,8,,1-6,6,4.5,Rhoden,Niekro,,2:29,D,37161,---
8,8,Monday Apr 17,boxscore,ATL,@,SFG,L,1,5,,1-7,6,5.5,Blue,Boggs,,2:17,D,5882,----
9,9,Tuesday Apr 18,boxscore,ATL,@,SFG,W,1,0,,2-7,6,5.5,Hanna,Montefusco,Devine,2:04,N,7401,+
10,10,Wednesday Apr 19,boxscore,ATL,@,SFG,W,2,0,,3-7,5,4.5,Ruthven,Barr,,1:48,D,3689,++
11,11,Thursday Apr 20,boxscore,ATL,@,SDP,L,0,2,,3-8,6,5.0,Jones,Niekro,Fingers,1:33,D,10256,-
12,12,Friday Apr 21,boxscore,ATL,@,SDP,L,3,9,,3-9,6,5.0,Perry,Easterly,,2:42,N,37113,--
13,13,Saturday Apr 22,boxscore,ATL,@,SDP,L,0,2,,3-10,6,6.0,Owchinko,Boggs,Fingers,2:23,N,49744,---
14,14,Sunday Apr 23,boxscore,ATL,@,SDP,L-wo,4,5,12,3-11,6,7.0,Wehrmeister,Solomon,,3:20,D,19502,----
15,15,Tuesday Apr 25,boxscore,ATL,,SFG,W,3,1,,4-11,6,6.5,Niekro,Barr,,1:51,N,2193,+
16,16,Wednesday Apr 26,boxscore,ATL,,SFG,W,6,1,,5-11,6,6.5,Hanna,Knepper,Solomon,2:19,N,3284,++
17,17,Thursday Apr 27,boxscore,ATL,,SFG,L,3,5,,5-12,6,7.0,Blue,Ruthven,,2:14,N,3527,-
18,18,Friday Apr 28,boxscore,ATL,,CHC,L,3,4,10,5-13,6,8.0,Sutter,Campbell,Moore,3:16,N,10045,--
19,19,Saturday Apr 29,boxscore,ATL,,CHC,W,5,0,,6-13,6,7.0,Niekro,Fryman,,2:20,N,7638,+
20,20,Sunday Apr 30,boxscore,ATL,,CHC,L,5,7,,6-14,6,7.0,Sutter,Devine,,2:44,D,7269,-
21,21,Monday May 1,boxscore,ATL,,NYM,W,6,5,,7-14,6,6.5,Solomon,Lockwood,,2:47,N,5399,+
22,22,Tuesday May 2,boxscore,ATL,,NYM,W-wo,5,4,,8-14,6,5.5,Devine,Myrick,,3:08,N,4682,++
23,23,Thursday May 4,boxscore,ATL,,NYM,L,2,8,,8-15,6,7.0,Koosman,Niekro,,2:15,N,6195,-
24,24,Friday May 5,boxscore,ATL,,HOU,W,5,2,,9-15,6,7.0,Boggs,Niekro,Solomon,2:29,N,5699,+
25,25,Saturday May 6,boxscore,ATL,,HOU,W-wo,2,1,10,10-15,5,6.0,Campbell,Forsch,,2:45,N,7901,++
