
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Mar 31,boxscore,ATL,@,MIL,L,0,2,,0-1,4,1.0,Gallardo,Teheran,Rodriguez,2:45,D,45691,-
2,2,Tuesday Apr 1,boxscore,ATL,@,MIL,W,5,2,,1-1,3,1.0,Wood,Lohse,Kimbrel,2:34,N,21503,+
3,3,Wednesday Apr 2,boxscore,ATL,@,MIL,W,1,0,,2-1,2,0.5,Harang,Garza,Kimbrel,2:36,D,21712,++
4,4,Friday Apr 4,boxscore,ATL,@,WSN,W,2,1,,3-1,2,0.5,Avilan,Clippard,Kimbrel,3:03,D,42834,+++
5,5,Saturday Apr 5,boxscore,ATL,@,WSN,W,6,2,,4-1,2,0.5,Teheran,Strasburg,,3:36,N,37841,++++
6,6,Sunday Apr 6,boxscore,ATL,@,WSN,L,1,2,,4-2,2,0.5,Blevins,Wood,Soriano,2:44,D,34327,-
7,7,Tuesday Apr 8,boxscore,ATL,,NYM,L,0,4,,4-3,3,1.0,Colon,Harang,,3:07,N,47144,--
8,8,Wednesday Apr 9,boxscore,ATL,,NYM,W,4,3,,5-3,2,1.0,Santana,Wheeler,Kimbrel,2:40,N,19608,+
9,9,Thursday Apr 10,boxscore,ATL,,NYM,L,4,6,,5-4,2,2.0,Torres,Avilan,Valverde,3:26,N,29470,-
10,10,Friday Apr 11,boxscore,ATL,,WSN,W-wo,7,6,10,6-4,2,1.0,Avilan,Blevins,,3:49,N,28243,+
11,11,Saturday Apr 12,boxscore,ATL,,WSN,W,6,3,,7-4,1,Tied,Wood,Jordan,Kimbrel,3:33,N,36621,++
12,12,Sunday Apr 13,boxscore,ATL,,WSN,W,10,2,,8-4,1,up 1.0,Harang,Gonzalez,,2:56,D,27919,+++
13,13,Monday Apr 14,boxscore,ATL,@,PHI,W,9,6,,9-4,1,up 1.0,Avilan,Diekman,Carpenter,3:41,N,26516,++++
14,14,Wednesday Apr 16,boxscore,ATL,@,PHI,W,1,0,,10-4,1,up 1.5,Teheran,Lee,,2:29,N,23382,+++++
15,15,Thursday Apr 17,boxscore,ATL,@,PHI,L,0,1,,10-5,1,up 1.5,Bastardo,Wood,Papelbon,2:28,D,25750,-
16,16,Friday Apr 18,boxscore,ATL,@,NYM,W,6,0,,11-5,1,up 1.5,Harang,Niese,,2:55,N,33199,+
17,17,Saturday Apr 19,boxscore,ATL,@,NYM,W,7,5,,12-5,1,up 2.5,Santana,Colon,Walden,3:13,N,31476,++
18,18,Sunday Apr 20,boxscore,ATL,@,NYM,L-wo,3,4,14,12-6,1,up 1.5,Valverde,Schlosser,,4:37,D,33131,-
19,19,Monday Apr 21,boxscore,ATL,,MIA,W-wo,4,2,10,13-6,1,up 2.5,Varvaro,Caminero,,3:41,N,16055,+
20,20,Tuesday Apr 22,boxscore,ATL,,MIA,L,0,1,,13-7,1,up 2.5,Fernandez,Wood,Cishek,2:08,N,18275,-
21,21,Wednesday Apr 23,boxscore,ATL,,MIA,W,3,1,,14-7,1,up 2.5,Carpenter,Dunn,Kimbrel,3:01,D,21508,+
22,22,Friday Apr 25,boxscore,ATL,,CIN,W,5,4,,15-7,1,up 2.5,Santana,Bailey,Kimbrel,2:41,N,31111,++
23,23,Saturday Apr 26,boxscore,ATL,,CIN,W,4,1,,16-7,1,up 3.0,Hale,Leake,Kimbrel,2:17,N,33702,+++
24,24,Sunday Apr 27,boxscore,ATL,,CIN,W-wo,1,0,10,17-7,1,up 3.5,Thomas,Hoover,,3:02,D,31446,++++
25,25,Tuesday Apr 29,boxscore,ATL,@,MIA,L,0,9,,17-8,1,up 2.5,Fernandez,Wood,,2:07,N,21992,-
26,26,Wednesday Apr 30,boxscore,ATL,@,MIA,L,3,9,,17-9,1,up 2.0,Eovaldi,Harang,,2:50,N,15558,--
27,27,Thursday May 1,boxscore,ATL,@,MIA,L,4,5,,17-10,1,up 1.5,Dunn,Thomas,Cishek,2:54,N,17836,---
28,28,Friday May 2,boxscore,ATL,,SFG,L,1,2,,17-11,1,up 0.5,Lincecum,Minor,Romo,3:08,N,29469,----
29,29,Saturday May 3,boxscore,ATL,,SFG,L,1,3,,17-12,1,up 0.5,Vogelsong,Teheran,Romo,2:51,N,34648,-----
30,30,Sunday May 4,boxscore,ATL,,SFG,L,1,4,,17-13,1,up 0.5,Bumgarner,Wood,Casilla,3:15,D,30067,------
31,31,Monday May 5,boxscore,ATL,,STL,L,3,4,,17-14,2,0.5,Miller,Harang,Rosenthal,3:15,N,20048,-------
32,32,Tuesday May 6,boxscore,ATL,,STL,W,2,1,,18-14,1,up 0.5,Carpenter,Choate,Kimbrel,2:42,N,18413,+
33,33,Wednesday May 7,boxscore,ATL,,STL,L,1,7,,18-15,3,0.5,Wainwright,Minor,,2:43,N,21796,-
34,34,Friday May 9,boxscore,ATL,,CHC,W-wo,3,2,10,19-15,1,Tied,Wood,Wright,,3:07,N,27145,+
35,35,Saturday May 10,boxscore,ATL,,CHC,W,2,0,,20-15,1,up 1.0,Santana,Schlitter,Kimbrel,2:19,N,30658,++
36,36,Sunday May 11,boxscore,ATL,,CHC,W,5,2,,21-15,1,up 2.0,Harang,Jackson,Carpenter,2:54,D,26151,+++
37,37,Monday May 12,boxscore,ATL,@,SFG,L,2,4,,21-16,1,up 1.5,Lincecum,Floyd,Romo,2:43,N,41438,-
38,38,Tuesday May 13,boxscore,ATL,@,SFG,W,5,0,,22-16,1,up 2.5,Minor,Vogelsong,,2:51,N,41506,+
39,39,Wednesday May 14,boxscore,ATL,@,SFG,L,4,10,,22-17,1,up 1.5,Bumgarner,Teheran,,3:18,D,41253,-
40,40,Friday May 16,boxscore,ATL,@,STL,L,2,5,,22-18,1,up 0.5,Lynn,Santana,Rosenthal,2:55,N,43701,--
41,41,Saturday May 17,boxscore,ATL,@,STL,L,1,4,,22-19,1,up 0.5,Miller,Harang,Rosenthal,2:31,D,44981,---
42,42,Sunday May 18,boxscore,ATL,@,STL,W,6,5,,23-19,1,up 0.5,Carpenter,Rosenthal,Kimbrel,3:20,D,44278,+
43,43,Monday May 19,boxscore,ATL,,MIL,W,9,3,,24-19,1,up 1.5,Minor,Peralta,,3:29,N,20468,++
44,44,Tuesday May 20,boxscore,ATL,,MIL,W,5,0,,25-19,1,up 1.5,Teheran,Gallardo,,2:53,N,20045,+++
45,45,Wednesday May 21,boxscore,ATL,,MIL,L,1,6,,25-20,1,up 1.5,Lohse,Santana,,2:26,N,18148,-
46,46,Thursday May 22,boxscore,ATL,,MIL,W,5,4,,26-20,1,up 2.0,Wood,Kintzler,Kimbrel,3:36,N,30148,+
47,47,Friday May 23,boxscore,ATL,,COL,W,3,2,,27-20,1,up 3.0,Carpenter,Ottavino,Kimbrel,3:13,N,25646,++
48,48,Saturday May 24,boxscore,ATL,,COL,L,1,3,,27-21,1,up 2.0,Nicasio,Minor,Hawkins,3:10,D,26741,-
49,49,Sunday May 25,boxscore,ATL,,COL,W,7,0,,28-21,1,up 3.0,Teheran,Morales,,2:48,N,35565,+
50,50,Monday May 26,boxscore,ATL,,BOS,L,6,8,,28-22,1,up 2.0,Mujica,Thomas,Uehara,3:40,D,48501,-
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
